FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry,lon,lat,operateur_clean,zone
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b2,Plateaux,Kloto,Kloto 1,Tové,"Moov, Togocom",POINT (0.7262583333333333 6.890514999999999),0.7262583333333333,6.890514999999999,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b1,Plateaux,Agou,Agou 2,Amoussou-Kopé,"Moov, Togocom",POINT (0.8455901090993507 6.663451885451509),0.8455901090993507,6.663451885451509,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b0,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.1930966666666667 7.75632),1.1930966666666667,7.75632,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7af,Plateaux,Haho,Haho 2,Asrama,"Moov, Togocom",POINT (1.3927666494317057 7.018087771889559),1.3927666494317057,7.018087771889559,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7ae,Plateaux,Kloto,Kloto 2,Lavié,"Moov, Togocom",POINT (0.677715 7.012714999999999),0.677715,7.012714999999999,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7ad,Maritime,Golfe,Golfe 4,Amoutivé,"Moov, Togocom",POINT (1.2287707223824753 6.140770050126972),1.2287707223824753,6.140770050126972,"Moov, Togocom",Grand Lomé
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7ac,Plateaux,Kloto,Kloto 2,Lavié,"Moov, Togocom",POINT (0.67782 7.0129150000000005),0.67782,7.0129150000000005,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7ab,Plateaux,Haho,Haho 2,Asrama,"Moov, Togocom",POINT (1.5009564532996413 7.013456255889495),1.5009564532996413,7.013456255889495,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7aa,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.1932016666666667 7.758056666666666),1.1932016666666667,7.758056666666666,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a9,Plateaux,Haho,Haho 2,Asrama,"Moov, Togocom",POINT (1.3908433333333332 7.025485896610697),1.3908433333333332,7.025485896610697,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a8,Plateaux,Haho,Haho 2,Asrama,"Moov, Togocom",POINT (1.5015866267388613 7.013983768034396),1.5015866267388613,7.013983768034396,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a7,Plateaux,Haho,Haho 2,Asrama,Moov,POINT (1.3886133333333333 7.026896666666667),1.3886133333333333,7.026896666666667,Moov,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a6,Plateaux,Kloto,Kloto 2,Lavié,"Moov, Togocom",POINT (0.6791211045607818 7.014135967638822),0.6791211045607818,7.014135967638822,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a5,Plateaux,Kloto,Kloto 2,Lavié,"Moov, Togocom",POINT (0.6879912984797395 7.016462420735545),0.6879912984797395,7.016462420735545,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a4,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Togocom,POINT (1.1456233333333332 6.2019366666666675),1.1456233333333332,6.2019366666666675,Togocom,Grand Lomé
